"","decision_tree_card_prediction","disp.client_id","disp.account_id","disp.type","account.district_id_branch","account.frequency","account.date","client.district_id_client","client.gender","client.dob","client.age","loan.date","loan.amount","loan.duration","loan.monthly_rate","loan.status","loan.has_loan","card.type","card.issued","card.has_card","order.sum_amount","order.household","order.leasing","order.loan","order.insurance","order.uncategorized","order.has_orders","eng.balance_dev_1y_before_card","eng.balance_at_card_issuance","eng.balance_dev_after_card","eng.mean_trans_count_per_month","eng.median_relative_balance_dev_in_perc","credit_check_avg_income","credit_check","final_balance","risk_score","card_recommendation","loan_applicable","loan_recommendation"
"11","classic",14,11,"owner",76,"monthly_issuance",1995-10-10,76,"female",1942-06-22,57,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2132,1,0,0,0,0,TRUE,-14530.4,23187.4,0,5,0,3494,"failed",23187,-6,"no","no","no"
"12","classic",15,12,"owner",21,"monthly_issuance",1997-04-15,21,"female",1918-08-28,81,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3592,1,0,0,0,0,TRUE,-7296.6,26113.2,0,4.49,0,NA,NA,26113,70,"no","no","no"
"13","classic",17,13,"owner",76,"monthly_issuance",1997-08-17,76,"male",1934-10-13,65,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2444,1,0,0,0,0,TRUE,-7187.6,13224.8,0,4.47,0,NA,NA,13224,57,"no","no","no"
"14","classic",19,14,"owner",47,"monthly_issuance",1996-11-27,47,"male",1942-12-28,57,NA,NA,NA,NA,NA,FALSE,"classic",1998-03-13,TRUE,3629,1,0,0,0,0,TRUE,1166.60000000001,37274.3,2039.6,4.53,0,NA,NA,39313,89,"keep classic","no","no"
"15","junior",20,15,"owner",70,"monthly_issuance",1993-10-02,46,"male",1979-01-04,20,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3072,1,0,0,0,0,TRUE,17641.2,47423,0,6.51,0.985,17065,"junior",47423,312,"junior","yes","up to  150000"
"16","classic",21,16,"owner",12,"monthly_issuance",1997-09-23,12,"female",1952-10-29,47,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,3902.8,33031.7,0,4.41,0,NA,NA,33031,88,"no","no","no"
"17","gold",22,17,"owner",1,"monthly_issuance",1997-01-08,1,"female",1969-10-11,30,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4032,1,0,0,0,0,TRUE,-16402.4,97877.9,0,4.41,0,NA,"gold",97877,234,"gold","no","no"
"18","gold",24,18,"owner",43,"weekly_issuance",1993-05-26,43,"female",1939-07-29,60,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,-12443.7,81557.7,0,5.44,3.36,NA,"gold",81557,221,"gold","no","no"
"19","classic",25,19,"owner",21,"monthly_issuance",1995-04-07,21,"female",1939-04-23,60,1996-04-29,30276,12,2523,"finished_nok",TRUE,NA,NA,FALSE,2523,0,0,1,0,0,TRUE,-761.129999999997,10856.55,0,5.86,0,15139,"failed",10840,112,"no","no","no"
"20","classic",26,20,"owner",74,"monthly_issuance",1996-08-24,74,"female",1969-04-20,30,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2003,1,0,0,0,0,TRUE,-1107.9,17692.2,0,8.21,0,3005,"failed",17692,-2,"no","no","no"
"21","classic",27,21,"owner",54,"monthly_issuance",1997-12-06,54,"female",1966-03-26,33,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,6276,1,0,0,0,0,TRUE,29869.8,53230.6,0,4.36,0,NA,NA,53230,134,"classic","yes","up to  170000"
"22","classic",28,22,"owner",1,"monthly_issuance",1994-03-23,1,"male",1945-09-29,54,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,6352,1,0,0,0,0,TRUE,-35862.5,35740,0,5.25,0,16873,"gold",35740,271,"classic","no","no"
"23","gold",29,23,"owner",30,"monthly_issuance",1993-05-22,30,"female",1951-09-11,48,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,5807,1,0,0,0,0,TRUE,-12031.5,83101.2,0,5.16,3.74,22088,"gold",83101,443,"gold","no","no"
"24","classic",30,24,"owner",74,"monthly_issuance",1996-12-05,74,"female",1957-10-09,42,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,7862,1,0,0,0,1,TRUE,17411.63,21582.5,0,4.52,0,NA,NA,21582,90,"no","no","no"
"25","classic",31,25,"owner",68,"monthly_issuance",1996-07-28,68,"male",1962-02-09,37,1997-12-08,30276,12,2523,"finished_ok",TRUE,NA,NA,FALSE,10614,1,0,1,1,1,TRUE,7812.8,30199.4,0,4.81,0,NA,NA,30199,139,"classic","no","next loan up to  90000"
"26","junior",32,26,"owner",52,"monthly_issuance",1993-08-08,52,"male",1980-07-28,19,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,10387,1,0,0,0,0,TRUE,-9256.6,51771.4,0,5.05,1.155,24802,"junior",51771,367,"junior","no","no"
"27","classic",33,27,"owner",73,"monthly_issuance",1993-09-26,73,"female",1948-12-04,51,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4054,1,0,0,0,0,TRUE,-5049,32196.5,0,4.96,0,8627,"classic",32196,189,"classic","no","no"
"28","junior",36,29,"owner",7,"monthly_issuance",1994-11-24,7,"female",1978-07-17,21,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,7708,1,0,0,1,1,TRUE,-10312.7,37551.4,0,5.3,0,17778,"junior",37551,282,"junior","no","no"
"29","classic",38,30,"owner",36,"monthly_issuance",1995-03-04,36,"female",1973-07-23,26,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2480,0,1,0,0,0,TRUE,-77836.6,44155.3,0,5.6,0,NA,NA,44155,17,"no","no","no"
"30","classic",39,31,"owner",68,"monthly_issuance",1994-04-27,68,"male",1968-01-25,31,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,10202,1,0,0,0,0,TRUE,3494.5,13305.6,0,5.71,0,NA,NA,13312,67,"no","no","no"
"31","classic",40,32,"owner",5,"monthly_issuance",1995-08-28,5,"female",1957-01-22,42,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,20083.1,89719.6,0,6.93,0,16548,"gold",89719,376,"classic","yes","up to  280000"
"32","classic",41,33,"owner",22,"monthly_issuance",1993-08-26,22,"male",1968-08-27,31,NA,NA,NA,NA,NA,FALSE,"gold",1995-09-03,TRUE,3892,1,0,0,0,0,TRUE,9713.7,57969.7,9872.10000000001,5.27,0,23589,"gold",112405,405,"keep gold","yes","up to  350000"
"33","classic",42,34,"owner",67,"weekly_issuance",1993-09-17,68,"male",1935-08-17,64,NA,NA,NA,NA,NA,FALSE,"classic",1998-11-26,TRUE,8051,1,1,0,0,1,TRUE,11474.5,47337.9,2776.3,6.64,0,31845,"gold",50114,477,"keep classic","yes","up to  160000"
"34","classic",43,35,"owner",75,"monthly_issuance",1993-07-07,75,"male",1920-10-28,79,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2384,1,0,0,0,0,TRUE,14004.7,20742.1,0,5,0,5446,"failed",20742,40,"no","no","no"
"35","gold",44,36,"owner",1,"monthly_issuance",1993-07-01,38,"female",1977-01-11,22,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4069,1,0,0,0,0,TRUE,40831.8,79146.7,0,6.45,1.655,19852,"junior",79146,445,"junior","yes","up to  250000"
"36","classic",45,37,"owner",20,"monthly_issuance",1997-08-18,20,"male",1952-08-26,47,1998-10-14,318480,60,5308,"running_nok",TRUE,NA,NA,FALSE,10305,1,0,1,1,1,TRUE,-63489.1,45904.5,0,4.52,0,NA,"failed",45904,-119,"no","no","no"
"37","classic",46,38,"owner",19,"weekly_issuance",1997-08-08,19,"female",1940-01-30,59,1998-04-19,110736,48,2307,"running_ok",TRUE,NA,NA,FALSE,9666,1,0,1,1,1,TRUE,-9363.1,44580.5,0,4.44,0,NA,NA,44580,114,"classic","no","increase up to 140000"
"38","classic",47,39,"owner",36,"monthly_issuance",1993-09-22,76,"male",1934-07-14,65,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3115,1,0,0,0,0,TRUE,-3885.33,16315.4,0,4.97,0,6474,"failed",16315,28,"no","no","no"
"39","classic",48,40,"owner",64,"monthly_issuance",1993-10-25,16,"male",1940-02-09,59,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4334,1,0,0,0,1,TRUE,6067.4,23704,0,5,0,6502,"failed",23704,46,"no","no","no"
"40","classic",49,41,"owner",72,"monthly_issuance",1997-08-02,72,"female",1959-05-11,40,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,28681.3,100767.7,0,4.66,0,NA,"gold",100767,231,"classic","yes","up to  320000"
"41","junior",50,42,"owner",39,"monthly_issuance",1996-08-16,39,"female",1978-07-30,21,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,6070,1,0,0,1,1,TRUE,-13993.8,25984.1,0,4.62,0,9106,"junior",25984,179,"junior","no","no"
"42","junior",51,43,"owner",36,"monthly_issuance",1994-06-12,36,"female",1979-12-02,20,NA,NA,NA,NA,NA,FALSE,"junior",1995-04-24,TRUE,6589,1,0,0,0,0,TRUE,40425.4,66409.5,1736.60000000001,4.81,0,23908,"junior",60766,421,"keep junior","yes","up to  190000"
"43","classic",52,44,"owner",32,"monthly_issuance",1993-05-10,32,"male",1924-12-12,75,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2344,1,0,0,0,0,TRUE,1844.4,23842.6,0,4.97,0,4200,"failed",23842,19,"no","no","no"
"44","classic",53,45,"owner",64,"monthly_issuance",1997-09-02,64,"male",1977-05-05,22,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,4360.1,25878.4,0,4.64,0,NA,NA,25878,81,"no","no","no"
"45","gold",55,47,"owner",45,"monthly_issuance",1993-08-08,45,"female",1948-09-18,51,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,7264,1,0,0,1,1,TRUE,12819,78755,0,5.15,1.415,35257,"gold",78755,596,"gold","yes","up to  250000"
"46","classic",56,48,"owner",21,"monthly_issuance",1996-11-17,21,"male",1960-03-31,39,NA,NA,NA,NA,NA,FALSE,"classic",1998-06-11,TRUE,7297,1,0,0,0,1,TRUE,17076,61510.5,9405,4.66,0,NA,"classic",70915,155,"keep classic","yes","up to  220000"
"47","classic",58,49,"owner",1,"monthly_issuance",1997-04-06,1,"female",1927-04-29,72,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3102,1,0,0,0,0,TRUE,-4999.8,15310.5,0,4.66,0,4654,"failed",15310,9,"no","no","no"
"48","classic",59,50,"owner",1,"monthly_issuance",1994-05-06,1,"male",1957-02-18,42,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,7293,1,0,0,0,1,TRUE,40631.4,86128.7,0,4.89,0,16130,"gold",86128,390,"classic","yes","up to  270000"
"49","junior",60,51,"owner",67,"monthly_issuance",1996-05-11,67,"male",1980-02-19,19,NA,NA,NA,NA,NA,FALSE,"junior",1998-05-20,TRUE,4131,1,0,0,0,1,TRUE,3319.2,62328.5,35894,4.71,0,20633,"junior",98222,347,"keep junior","yes","up to  310000"
"50","classic",61,52,"owner",16,"monthly_issuance",1997-01-29,16,"female",1948-08-06,51,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4283,1,0,0,0,1,TRUE,26356.5,21159.8,0,4.58,0,NA,NA,21159,98,"no","no","no"
"51","classic",62,53,"owner",77,"monthly_issuance",1995-06-07,77,"male",1932-12-08,67,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2851,1,0,0,0,0,TRUE,-6234.6,15130.3,0,5,0,4277,"failed",15130,3,"no","no","no"
"52","classic",63,54,"owner",4,"monthly_issuance",1995-05-02,4,"male",1959-06-04,40,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2280,1,0,0,0,0,TRUE,4533.4,26815.6,0,6.47,0,3421,"failed",26815,17,"no","no","no"
"53","classic",64,55,"owner",20,"monthly_issuance",1996-02-19,20,"male",1926-04-22,73,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3086,1,0,0,0,0,TRUE,3432.3,20988.2,0,4.84,0,4629,"failed",20988,21,"no","no","no"
"54","classic",65,56,"owner",50,"monthly_issuance",1994-05-16,50,"female",1943-05-27,56,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,8080,1,0,0,0,0,TRUE,25584.1,57568.1,0,4.97,0,14593,"gold",57568,331,"classic","yes","up to  180000"
"55","classic",66,57,"owner",1,"monthly_issuance",1995-05-21,1,"female",1951-11-10,48,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4107,1,0,0,0,0,TRUE,34517.2,63004.5,0,4.85,0,21308,"gold",63004,413,"classic","yes","up to  200000"
"56","classic",67,58,"owner",29,"monthly_issuance",1996-08-23,29,"female",1932-11-11,67,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,-587.1,11255.5,0,4.66,0,5804,"failed",11255,19,"no","no","no"
"57","classic",68,59,"owner",43,"monthly_issuance",1994-03-27,43,"male",1946-12-14,53,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,6885,1,0,0,0,1,TRUE,53613.7,79811.4,0,6,0,14283,"gold",79811,378,"classic","yes","up to  250000"
"58","classic",70,61,"owner",70,"monthly_issuance",1993-12-11,70,"male",1925-12-22,74,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2313,1,0,0,0,0,TRUE,-757.399999999998,18423.2,0,4.92,4.645,4019,"failed",18423,8,"no","no","no"
"59","classic",72,62,"owner",47,"monthly_issuance",1993-03-28,47,"male",1923-01-13,76,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2273,1,0,0,0,0,TRUE,2440.9,16686.1,0,5.05,0.31,5079,"failed",16686,21,"no","no","no"
"60","classic",73,63,"owner",22,"monthly_issuance",1996-11-16,22,"male",1924-02-20,75,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2394,1,0,0,0,0,TRUE,1493.8,32334.9,0,5.08,0,5024,"failed",32334,34,"no","no","no"
"61","classic",75,64,"owner",64,"monthly_issuance",1997-03-11,64,"female",1977-09-19,22,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,7118.3,21730.1,0,4.3,0,NA,NA,21730,80,"no","no","no"
"62","classic",76,65,"owner",36,"monthly_issuance",1996-10-29,36,"female",1967-10-01,32,NA,NA,NA,NA,NA,FALSE,"classic",1997-10-25,TRUE,7402,1,0,0,1,1,TRUE,15419.9,37150,2280.4,4.71,0,24590,"gold",56145,399,"keep classic","yes","up to  170000"
"63","classic",77,66,"owner",48,"issuance_after_transaction",1993-12-03,1,"female",1956-02-18,43,NA,NA,NA,NA,NA,FALSE,"classic",1996-12-07,TRUE,4471,0,1,0,0,0,TRUE,1918,62792.6,-22608.1,5.48,0.495,44713,"gold",100252,614,"keep classic","no","no"
"64","classic",78,67,"owner",16,"monthly_issuance",1994-10-19,16,"female",1944-06-13,55,1996-05-02,165960,24,6915,"finished_ok",TRUE,NA,NA,FALSE,13753,1,0,1,0,1,TRUE,53813,39709.5,0,4.99,0,41490,"gold",39709,660,"classic","no","next loan up to 120000"
"65","classic",79,68,"owner",37,"issuance_after_transaction",1994-12-20,37,"female",1969-03-10,30,NA,NA,NA,NA,NA,FALSE,"gold",1997-10-25,TRUE,3089,1,0,0,1,1,TRUE,-22233.6,51054,14389.53,5.22,0,35557,"gold",97117,486,"keep gold","yes","up to  310000"
"66","junior",80,69,"owner",64,"monthly_issuance",1996-01-12,64,"female",1979-02-25,20,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,-14704.6,63471.3,0,4.88,0,1900,"junior",63471,143,"junior","no","no"
"67","classic",81,70,"owner",8,"monthly_issuance",1995-02-18,8,"male",1976-04-29,23,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4150,1,0,0,0,0,TRUE,11254.73,42423.1,0,4.9,0,9087,"junior",42423,220,"junior","yes","up to  130000"
"68","junior",83,71,"owner",1,"monthly_issuance",1994-03-05,1,"female",1978-12-25,21,NA,NA,NA,NA,NA,FALSE,"junior",1996-09-11,TRUE,4359,1,0,0,1,1,TRUE,-2703.37,40943.7,2951.60000000001,6.44,0,21717,"junior",69570,332,"keep junior","yes","up to  220000"
"69","classic",85,72,"owner",1,"weekly_issuance",1996-06-20,1,"male",1961-08-27,38,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,12318,1,1,0,0,1,TRUE,63244.3,22336.3,0,4.89,0,NA,NA,22336,137,"classic","no","no"
"70","classic",87,73,"owner",72,"monthly_issuance",1993-11-08,72,"female",1946-11-17,53,NA,NA,NA,NA,NA,FALSE,"classic",1994-06-29,TRUE,6061,1,0,0,0,0,TRUE,31828.9,54165.2,-19035.3,5.32,0,19111,"gold",61919,378,"keep classic","no","no"
"71","classic",89,75,"owner",1,"monthly_issuance",1995-08-13,1,"female",1951-05-05,48,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3369,1,0,0,0,0,TRUE,-823.400000000001,25295.4,0,4.82,0,12550,"classic",25295,227,"classic","no","no"
"72","junior",90,76,"owner",52,"monthly_issuance",1996-05-16,52,"male",1975-08-17,24,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,5208,1,0,0,0,0,TRUE,-9180.7,19633.9,0,5.27,0,7813,"junior",19633,165,"junior","no","no"
"73","classic",91,77,"owner",63,"monthly_issuance",1996-11-19,63,"male",1940-08-07,59,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,1709,0,1,0,0,0,TRUE,4498.5,19338.7,0,4.62,0,NA,NA,19338,74,"no","no","no"
"74","gold",92,78,"owner",74,"monthly_issuance",1993-07-07,74,"female",1966-06-12,33,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,9039,1,0,0,0,0,TRUE,26913,77935.4,0,5.11,0.33,17478,"gold",77935,431,"gold","yes","up to  240000"
"75","classic",93,79,"owner",3,"monthly_issuance",1996-11-29,3,"male",1925-02-16,74,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2788,1,0,0,0,0,TRUE,2282.5,21902,0,4.81,0,4182,"failed",21902,17,"no","no","no"
"76","classic",94,80,"owner",43,"monthly_issuance",1995-09-27,43,"male",1947-09-09,52,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2252,1,0,0,0,0,TRUE,2498.8,27350,0,5.1,0,3378,"failed",27350,14,"no","no","no"
"77","classic",96,81,"owner",74,"monthly_issuance",1996-07-18,74,"male",1972-02-29,27,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2056,1,0,0,1,1,TRUE,9346.2,36443.8,0,4.66,0,3084,"failed",36443,27,"no","no","no"
"78","classic",97,82,"owner",26,"monthly_issuance",1994-05-03,26,"male",1965-11-28,34,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,-41535.6,83928.8,0,5.82,0,NA,"gold",83928,143,"classic","no","no"
"79","classic",98,83,"owner",26,"monthly_issuance",1993-04-16,33,"female",1973-05-04,26,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,6150,1,0,0,0,1,TRUE,20362,33238.6,0,5.16,0,9226,"classic",33238,221,"classic","yes","up to  100000"
"80","classic",100,84,"owner",44,"issuance_after_transaction",1995-12-25,44,"female",1942-08-11,57,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,14161,1,1,0,0,0,TRUE,49826.6,104121.3,0,5.05,0,NA,"gold",104121,255,"classic","yes","up to  330000"
"81","classic",101,85,"owner",68,"monthly_issuance",1997-03-23,68,"male",1943-01-23,56,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,5623,1,1,0,0,0,TRUE,35834.9,52012.4,0,4.56,0,NA,NA,52012,139,"classic","yes","up to  160000"
"82","classic",102,86,"owner",54,"monthly_issuance",1993-03-07,74,"female",1958-09-10,41,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2162,1,0,0,0,1,TRUE,-5316.9,21975.6,0,5.55,4.015,3243,"failed",21975,0,"no","no","no"
"83","junior",105,88,"owner",31,"monthly_issuance",1996-07-03,31,"male",1980-05-26,19,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2268,1,0,0,0,0,TRUE,4096.2,24428,0,4.56,0,3403,"junior",24428,138,"junior","no","no"
"84","classic",106,89,"owner",68,"monthly_issuance",1997-09-25,68,"female",1968-12-30,31,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,5281.2,37919.9,0,4.42,0,NA,NA,37919,94,"no","no","no"
"85","classic",107,90,"owner",1,"monthly_issuance",1994-07-13,1,"male",1972-06-23,27,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,9882,1,0,0,1,1,TRUE,-6187,24126.6,0,4.88,0,24306,"gold",24126,363,"classic","no","no"
"86","classic",108,91,"owner",17,"monthly_issuance",1996-11-06,17,"male",1963-09-13,36,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,-26253.55,-1079.25,0,4.88,0,NA,NA,-4187,24,"no","no","no"
"87","classic",110,93,"owner",2,"monthly_issuance",1996-06-12,2,"female",1967-04-13,32,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,-7559.7,34008.9,0,12.11,0,7188,"failed",34008,49,"no","no","no"
"88","classic",112,95,"owner",1,"monthly_issuance",1995-03-30,1,"male",1935-01-25,64,NA,NA,NA,NA,NA,FALSE,"classic",1996-02-17,TRUE,NA,NA,NA,NA,NA,NA,FALSE,1218.2,35227.1,14630.9,5.25,0,23927,"gold",80441,377,"keep classic","yes","up to  250000"
"89","gold",114,96,"owner",68,"monthly_issuance",1993-02-18,74,"female",1969-06-24,30,NA,NA,NA,NA,NA,FALSE,"classic",1995-03-05,TRUE,8160,1,1,0,1,1,TRUE,38791.6,78204.9,-1749.7,6.15,2.34,44221,"gold",84861,710,"upsell","no","no"
"90","classic",116,97,"owner",74,"monthly_issuance",1996-05-05,74,"male",1942-01-28,57,1997-08-10,102876,12,8573,"finished_ok",TRUE,"classic",1998-06-23,TRUE,12438,1,0,1,1,1,TRUE,16098.4,45989.2,6594.60000000001,5.05,0,17928,"gold",52583,392,"keep classic","no","next loan up to 160000"
"91","classic",118,98,"owner",55,"monthly_issuance",1997-05-02,55,"male",1922-07-19,77,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2318,1,0,0,0,0,TRUE,-7970.6,14443.9,0,4.59,0,NA,NA,14443,57,"no","no","no"
"92","classic",120,99,"owner",1,"monthly_issuance",1995-06-27,1,"male",1976-05-10,23,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,9185,1,0,0,0,1,TRUE,-24843,2314.5,0,5.01,0,NA,NA,2321,29,"no","no","no"
"93","junior",121,100,"owner",41,"monthly_issuance",1993-12-28,41,"female",1978-10-29,21,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,7927,1,0,0,0,1,TRUE,30567.8,74839.1,0,5.75,0,11891,"junior",74839,301,"junior","yes","up to  230000"
"94","classic",122,101,"owner",35,"monthly_issuance",1996-04-16,35,"female",1963-11-13,36,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,8892,1,0,0,0,1,TRUE,32674.7,73685.1,0,4.75,0,17864,"gold",73685,387,"classic","yes","up to  230000"
"95","classic",123,102,"owner",11,"monthly_issuance",1993-10-16,11,"male",1969-02-12,30,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,11120,1,0,1,0,1,TRUE,22094.4,49992.7,0,4.77,-1.935,NA,NA,49992,124,"classic","no","no"
"96","classic",124,103,"owner",44,"monthly_issuance",1996-03-10,44,"male",1967-09-21,32,1997-12-06,265320,36,7370,"running_nok",TRUE,NA,NA,FALSE,7370,0,0,1,0,0,TRUE,33528.8,37942.55,0,4.97,0,NA,"failed",37861,-51,"no","no","no"
