"","disp.disp_id","disp.client_id","disp.account_id","disp.type","account.district_id_branch","account.frequency","account.date","client.district_id_client","client.gender","client.dob","client.age","loan.date","loan.amount","loan.duration","loan.monthly_rate","loan.status","loan.has_loan","card.type","card.issued","card.has_card","order.sum_amount","order.household","order.leasing","order.loan","order.insurance","order.uncategorized","order.has_orders","district.avg_salary","district.urban_ratio","district.enterpren_rate"
"40",49,49,41,"owner",72,"monthly_issuance",1997-08-02,72,"female",1959-05-11,40,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,8994,62.6,110
"41",50,50,42,"owner",39,"monthly_issuance",1996-08-16,39,"female",1978-07-30,21,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,6070,1,0,0,1,1,TRUE,10446,89.9,90
"42",51,51,43,"owner",36,"monthly_issuance",1994-06-12,36,"female",1979-12-02,20,NA,NA,NA,NA,NA,FALSE,"junior",1995-04-24,TRUE,6589,1,0,0,0,0,TRUE,9198,85.2,131
"43",52,52,44,"owner",32,"monthly_issuance",1993-05-10,32,"male",1924-12-12,75,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2344,1,0,0,0,0,TRUE,9272,81,118
"44",53,53,45,"owner",64,"monthly_issuance",1997-09-02,64,"male",1977-05-05,22,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,9624,74.7,145
"45",55,55,47,"owner",45,"monthly_issuance",1993-08-08,45,"female",1948-09-18,51,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,7264,1,0,0,1,1,TRUE,8390,53.5,132
"46",56,56,48,"owner",21,"monthly_issuance",1996-11-17,21,"male",1960-03-31,39,NA,NA,NA,NA,NA,FALSE,"classic",1998-06-11,TRUE,7297,1,0,0,0,1,TRUE,9104,67,123
"47",58,58,49,"owner",1,"monthly_issuance",1997-04-06,1,"female",1927-04-29,72,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3102,1,0,0,0,0,TRUE,12541,100,167
"48",59,59,50,"owner",1,"monthly_issuance",1994-05-06,1,"male",1957-02-18,42,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,7293,1,0,0,0,1,TRUE,12541,100,167
"49",60,60,51,"owner",67,"monthly_issuance",1996-05-11,67,"male",1980-02-19,19,NA,NA,NA,NA,NA,FALSE,"junior",1998-05-20,TRUE,4131,1,0,0,0,1,TRUE,8110,63.1,109
"50",61,61,52,"owner",16,"monthly_issuance",1997-01-29,16,"female",1948-08-06,51,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4283,1,0,0,0,1,TRUE,8427,56.9,107
"51",62,62,53,"owner",77,"monthly_issuance",1995-06-07,77,"male",1932-12-08,67,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2851,1,0,0,0,0,TRUE,8909,53.5,113
"52",63,63,54,"owner",4,"monthly_issuance",1995-05-02,4,"male",1959-06-04,40,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2280,1,0,0,0,0,TRUE,9753,67.4,109
"53",64,64,55,"owner",20,"monthly_issuance",1996-02-19,20,"male",1926-04-22,73,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3086,1,0,0,0,0,TRUE,8547,58.4,120
"54",65,65,56,"owner",50,"monthly_issuance",1994-05-16,50,"female",1943-05-27,56,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,8080,1,0,0,0,0,TRUE,8187,52,94
"55",66,66,57,"owner",1,"monthly_issuance",1995-05-21,1,"female",1951-11-10,48,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4107,1,0,0,0,0,TRUE,12541,100,167
"56",67,67,58,"owner",29,"monthly_issuance",1996-08-23,29,"female",1932-11-11,67,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,8843,55.6,113
"57",68,68,59,"owner",43,"monthly_issuance",1994-03-27,43,"male",1946-12-14,53,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,6885,1,0,0,0,1,TRUE,9425,76.3,125
"58",70,70,61,"owner",70,"monthly_issuance",1993-12-11,70,"male",1925-12-22,74,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2313,1,0,0,0,0,TRUE,10177,89.9,81
"59",72,72,62,"owner",47,"monthly_issuance",1993-03-28,47,"male",1923-01-13,76,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2273,1,0,0,0,0,TRUE,9538,72.8,111
"60",73,73,63,"owner",22,"monthly_issuance",1996-11-16,22,"male",1924-02-20,75,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2394,1,0,0,0,0,TRUE,8620,52.4,100
"61",75,75,64,"owner",64,"monthly_issuance",1997-03-11,64,"female",1977-09-19,22,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,9624,74.7,145
"62",76,76,65,"owner",36,"monthly_issuance",1996-10-29,36,"female",1967-10-01,32,NA,NA,NA,NA,NA,FALSE,"classic",1997-10-25,TRUE,7402,1,0,0,1,1,TRUE,9198,85.2,131
"63",77,77,66,"owner",48,"issuance_after_transaction",1993-12-03,1,"female",1956-02-18,43,NA,NA,NA,NA,NA,FALSE,"classic",1996-12-07,TRUE,4471,0,1,0,0,0,TRUE,12541,100,167
"64",78,78,67,"owner",16,"monthly_issuance",1994-10-19,16,"female",1944-06-13,55,1996-05-02,165960,24,6915,"finished_ok",TRUE,NA,NA,FALSE,13753,1,0,1,0,1,TRUE,8427,56.9,107
"65",79,79,68,"owner",37,"issuance_after_transaction",1994-12-20,37,"female",1969-03-10,30,NA,NA,NA,NA,NA,FALSE,"gold",1997-10-25,TRUE,3089,1,0,0,1,1,TRUE,9065,62.3,123
"66",80,80,69,"owner",64,"monthly_issuance",1996-01-12,64,"female",1979-02-25,20,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,9624,74.7,145
"67",81,81,70,"owner",8,"monthly_issuance",1995-02-18,8,"male",1976-04-29,23,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4150,1,0,0,0,0,TRUE,11277,69.4,127
"68",83,83,71,"owner",1,"monthly_issuance",1994-03-05,1,"female",1978-12-25,21,NA,NA,NA,NA,NA,FALSE,"junior",1996-09-11,TRUE,4359,1,0,0,1,1,TRUE,12541,100,167
"69",85,85,72,"owner",1,"weekly_issuance",1996-06-20,1,"male",1961-08-27,38,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,12318,1,1,0,0,1,TRUE,12541,100,167
"70",87,87,73,"owner",72,"monthly_issuance",1993-11-08,72,"female",1946-11-17,53,NA,NA,NA,NA,NA,FALSE,"classic",1994-06-29,TRUE,6061,1,0,0,0,0,TRUE,8994,62.6,110
"71",89,89,75,"owner",1,"monthly_issuance",1995-08-13,1,"female",1951-05-05,48,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3369,1,0,0,0,0,TRUE,12541,100,167
"72",90,90,76,"owner",52,"monthly_issuance",1996-05-16,52,"male",1975-08-17,24,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,5208,1,0,0,0,0,TRUE,8363,61.9,108
"73",91,91,77,"owner",63,"monthly_issuance",1996-11-19,63,"male",1940-08-07,59,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,1709,0,1,0,0,0,TRUE,8288,50.5,110
"74",92,92,78,"owner",74,"monthly_issuance",1993-07-07,74,"female",1966-06-12,33,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,9039,1,0,0,0,0,TRUE,10673,100,100
"75",93,93,79,"owner",3,"monthly_issuance",1996-11-29,3,"male",1925-02-16,74,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2788,1,0,0,0,0,TRUE,8980,41.7,111
"76",94,94,80,"owner",43,"monthly_issuance",1995-09-27,43,"male",1947-09-09,52,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2252,1,0,0,0,0,TRUE,9425,76.3,125
"77",96,96,81,"owner",74,"monthly_issuance",1996-07-18,74,"male",1972-02-29,27,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2056,1,0,0,1,1,TRUE,10673,100,100
"78",97,97,82,"owner",26,"monthly_issuance",1994-05-03,26,"male",1965-11-28,34,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,10787,100,131
"79",98,98,83,"owner",26,"monthly_issuance",1993-04-16,33,"female",1973-05-04,26,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,6150,1,0,0,0,1,TRUE,8705,84.7,116
"80",100,100,84,"owner",44,"issuance_after_transaction",1995-12-25,44,"female",1942-08-11,57,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,14161,1,1,0,0,0,TRUE,8254,53,97
"81",101,101,85,"owner",68,"monthly_issuance",1997-03-23,68,"male",1943-01-23,56,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,5623,1,1,0,0,0,TRUE,9893,57.2,96
"82",102,102,86,"owner",54,"monthly_issuance",1993-03-07,74,"female",1958-09-10,41,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2162,1,0,0,0,1,TRUE,10673,100,100
"83",105,105,88,"owner",31,"monthly_issuance",1996-07-03,31,"male",1980-05-26,19,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2268,1,0,0,0,0,TRUE,8930,59.2,108
"84",106,106,89,"owner",68,"monthly_issuance",1997-09-25,68,"female",1968-12-30,31,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,9893,57.2,96
"85",107,107,90,"owner",1,"monthly_issuance",1994-07-13,1,"male",1972-06-23,27,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,9882,1,0,0,1,1,TRUE,12541,100,167
"86",108,108,91,"owner",17,"monthly_issuance",1996-11-06,17,"male",1963-09-13,36,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,8114,61.4,119
"87",110,110,93,"owner",2,"monthly_issuance",1996-06-12,2,"female",1967-04-13,32,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,8507,46.7,132
"88",112,112,95,"owner",1,"monthly_issuance",1995-03-30,1,"male",1935-01-25,64,NA,NA,NA,NA,NA,FALSE,"classic",1996-02-17,TRUE,NA,NA,NA,NA,NA,NA,FALSE,12541,100,167
"89",114,114,96,"owner",68,"monthly_issuance",1993-02-18,74,"female",1969-06-24,30,NA,NA,NA,NA,NA,FALSE,"classic",1995-03-05,TRUE,8160,1,1,0,1,1,TRUE,10673,100,100
"90",116,116,97,"owner",74,"monthly_issuance",1996-05-05,74,"male",1942-01-28,57,1997-08-10,102876,12,8573,"finished_ok",TRUE,"classic",1998-06-23,TRUE,12438,1,0,1,1,1,TRUE,10673,100,100
"91",118,118,98,"owner",55,"monthly_issuance",1997-05-02,55,"male",1922-07-19,77,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2318,1,0,0,0,0,TRUE,8743,33.9,111
"92",120,120,99,"owner",1,"monthly_issuance",1995-06-27,1,"male",1976-05-10,23,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,9185,1,0,0,0,1,TRUE,12541,100,167
"93",121,121,100,"owner",41,"monthly_issuance",1993-12-28,41,"female",1978-10-29,21,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,7927,1,0,0,0,1,TRUE,9832,85.6,114
"94",122,122,101,"owner",35,"monthly_issuance",1996-04-16,35,"female",1963-11-13,36,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,8892,1,0,0,0,1,TRUE,8867,80.5,130
"95",123,123,102,"owner",11,"monthly_issuance",1993-10-16,11,"male",1969-02-12,30,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,11120,1,0,1,0,1,TRUE,9622,36.5,154
"96",124,124,103,"owner",44,"monthly_issuance",1996-03-10,44,"male",1967-09-21,32,1997-12-06,265320,36,7370,"running_nok",TRUE,NA,NA,FALSE,7370,0,0,1,0,0,TRUE,8254,53,97
"97",125,125,104,"owner",37,"monthly_issuance",1993-04-15,37,"male",1936-10-31,63,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2042,1,0,0,0,1,TRUE,9065,62.3,123
"98",127,127,105,"owner",21,"monthly_issuance",1997-07-10,21,"female",1950-12-27,49,1998-12-05,352704,48,7348,"running_ok",TRUE,"classic",1998-06-07,TRUE,7348,0,0,1,0,0,TRUE,9104,67,123
"99",128,128,106,"owner",63,"monthly_issuance",1994-11-27,63,"female",1973-04-04,26,NA,NA,NA,NA,NA,FALSE,"classic",1995-08-25,TRUE,3735,1,0,0,0,0,TRUE,8288,50.5,110
"100",129,129,107,"owner",64,"monthly_issuance",1993-11-05,64,"female",1947-05-31,52,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4554,1,0,0,1,1,TRUE,9624,74.7,145
"101",130,130,108,"owner",53,"monthly_issuance",1995-03-10,53,"male",1942-02-14,57,NA,NA,NA,NA,NA,FALSE,"classic",1997-09-09,TRUE,4803,1,0,0,0,0,TRUE,8240,50.9,99
"102",131,131,109,"owner",53,"monthly_issuance",1997-04-20,53,"female",1977-01-31,22,NA,NA,NA,NA,NA,FALSE,"classic",1998-12-02,TRUE,NA,NA,NA,NA,NA,NA,FALSE,8240,50.9,99
"103",132,132,110,"owner",36,"monthly_issuance",1996-07-17,36,"male",1953-01-26,46,1997-09-08,162576,36,4516,"running_ok",TRUE,"classic",1998-02-26,TRUE,7664,1,0,1,0,1,TRUE,9198,85.2,131
"104",134,134,112,"owner",6,"monthly_issuance",1993-03-12,6,"male",1932-01-18,67,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2051,1,0,0,0,0,TRUE,8546,51.5,126
"105",136,136,113,"owner",55,"monthly_issuance",1996-07-22,55,"female",1921-01-26,78,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3146,1,0,0,0,0,TRUE,8743,33.9,111
"106",137,137,114,"owner",60,"monthly_issuance",1997-03-14,60,"male",1923-09-14,76,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2123,1,0,0,0,0,TRUE,8441,51.9,115
"107",138,138,115,"owner",68,"monthly_issuance",1993-03-19,54,"female",1972-10-21,27,NA,NA,NA,NA,NA,FALSE,"classic",1997-01-11,TRUE,5110,1,0,0,0,0,TRUE,9897,100,140
"108",139,139,116,"owner",8,"monthly_issuance",1996-03-21,8,"female",1959-07-25,40,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,6456,1,1,0,0,0,TRUE,11277,69.4,127
"109",141,141,117,"owner",31,"monthly_issuance",1993-09-05,31,"male",1925-11-02,74,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2329,1,0,0,0,0,TRUE,8930,59.2,108
"110",142,142,118,"owner",68,"monthly_issuance",1997-09-18,68,"male",1937-06-21,62,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2449,1,0,0,0,0,TRUE,9893,57.2,96
"111",143,143,119,"owner",27,"monthly_issuance",1993-05-25,27,"male",1978-07-09,21,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,8252,1,0,0,0,0,TRUE,8561,43.8,110
"112",144,144,120,"owner",65,"weekly_issuance",1995-06-16,65,"male",1958-12-06,41,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,5864,1,1,0,0,0,TRUE,8403,43.7,105
"113",145,145,121,"owner",55,"monthly_issuance",1997-10-11,55,"male",1978-02-14,21,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2116,1,0,0,1,1,TRUE,8743,33.9,111
"114",146,146,122,"owner",31,"monthly_issuance",1996-10-30,31,"female",1961-12-19,38,NA,NA,NA,NA,NA,FALSE,"classic",1998-10-03,TRUE,NA,NA,NA,NA,NA,NA,FALSE,8930,59.2,108
"115",147,147,123,"owner",21,"monthly_issuance",1993-03-13,21,"female",1933-11-02,66,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3016,1,0,0,0,0,TRUE,9104,67,123
"116",149,149,124,"owner",55,"monthly_issuance",1997-12-28,55,"male",1948-06-27,51,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,1993,1,0,0,1,1,TRUE,8743,33.9,111
"117",150,150,125,"owner",2,"issuance_after_transaction",1996-09-07,2,"female",1980-09-27,19,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4422,0,1,0,0,0,TRUE,8507,46.7,132
"118",151,151,126,"owner",5,"monthly_issuance",1993-10-23,51,"female",1971-09-23,28,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,7384,1,0,0,0,0,TRUE,8541,70.5,131
"119",152,152,127,"owner",29,"monthly_issuance",1994-02-02,29,"female",1945-12-02,54,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2242,1,0,0,0,0,TRUE,8843,55.6,113
"120",153,153,128,"owner",2,"monthly_issuance",1993-02-19,13,"female",1981-02-12,18,NA,NA,NA,NA,NA,FALSE,"junior",1996-08-05,TRUE,NA,NA,NA,NA,NA,NA,FALSE,8598,41.3,123
"121",154,154,129,"owner",74,"monthly_issuance",1997-10-01,74,"male",1933-08-27,66,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3417,1,0,0,0,0,TRUE,10673,100,100
"122",156,156,130,"owner",54,"monthly_issuance",1997-02-12,54,"female",1930-07-22,69,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,3969,1,0,0,0,0,TRUE,9897,100,140
"123",157,157,131,"owner",52,"monthly_issuance",1995-06-13,52,"female",1943-07-09,56,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,6904,1,0,0,0,0,TRUE,8363,61.9,108
"124",158,158,132,"owner",40,"issuance_after_transaction",1996-05-11,40,"female",1945-07-03,54,1996-11-06,88440,12,7370,"finished_ok",TRUE,"classic",1997-12-06,TRUE,7370,0,0,1,0,0,TRUE,9317,85.3,97
"125",160,160,133,"owner",64,"weekly_issuance",1997-10-11,64,"female",1942-04-26,57,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,13160,1,1,0,0,1,TRUE,9624,74.7,145
"126",161,161,134,"owner",34,"monthly_issuance",1997-12-10,34,"female",1943-10-07,56,NA,NA,NA,NA,NA,FALSE,"classic",1998-09-14,TRUE,NA,NA,NA,NA,NA,NA,FALSE,9675,87.7,100
"127",162,162,135,"owner",75,"monthly_issuance",1993-06-15,65,"male",1941-10-17,58,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,8403,43.7,105
"128",163,163,136,"owner",74,"monthly_issuance",1996-05-14,74,"male",1933-06-12,66,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,2932,1,0,0,0,0,TRUE,10673,100,100
"129",164,164,137,"owner",70,"monthly_issuance",1996-07-19,70,"female",1962-04-04,37,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,4251,1,0,0,0,1,TRUE,10177,89.9,81
